==============================
Test Name   : TriangleWave_Test
Result      : PASS
Final PnL   : 1.6
Num trades  : 11
Time taken  : 33 us
==============================

T       SIDE    PRICE       PNL
--------------------------------------
1       NONE    0.0000      0.0000
2       BUY     99.6500     -0.0500
3       NONE    0.0000      0.0000
4       NONE    0.0000      0.0500
5       NONE    0.0000      0.1000
6       NONE    0.0000      0.1500
7       NONE    0.0000      0.2000
8       NONE    0.0000      0.2500
9       NONE    0.0000      0.3000
10      NONE    0.0000      0.3500
11      NONE    0.0000      0.4000
12      NONE    0.0000      0.4500
13      NONE    0.0000      0.5000
14      NONE    0.0000      0.5500
15      NONE    0.0000      0.6000
16      NONE    0.0000      0.6500
17      NONE    0.0000      0.7000
18      NONE    0.0000      0.7500
19      NONE    0.0000      0.8000
20      NONE    0.0000      0.8500
21      NONE    0.0000      0.8000
22      NONE    0.0000      0.7500
23      NONE    0.0000      0.7000
24      NONE    0.0000      0.6500
25      NONE    0.0000      0.6000
26      NONE    0.0000      0.5500
27      SELL    100.1000    0.4500
28      SELL    100.0500    0.4000
29      NONE    0.0000      0.4500
30      NONE    0.0000      0.5000
31      NONE    0.0000      0.5500
32      NONE    0.0000      0.6000
33      NONE    0.0000      0.6500
34      NONE    0.0000      0.7000
35      NONE    0.0000      0.7500
36      NONE    0.0000      0.8000
37      NONE    0.0000      0.8500
38      NONE    0.0000      0.9000
39      NONE    0.0000      0.9500
40      NONE    0.0000      1.0000
41      NONE    0.0000      0.9500
42      NONE    0.0000      0.9000
43      NONE    0.0000      0.8500
44      NONE    0.0000      0.8000
45      NONE    0.0000      0.7500
46      NONE    0.0000      0.7000
47      BUY     99.9000     0.6000
48      BUY     99.9500     0.5500
49      NONE    0.0000      0.6000
50      NONE    0.0000      0.6500
51      NONE    0.0000      0.7000
52      NONE    0.0000      0.7500
53      NONE    0.0000      0.8000
54      NONE    0.0000      0.8500
55      NONE    0.0000      0.9000
56      NONE    0.0000      0.9500
57      NONE    0.0000      1.0000
58      NONE    0.0000      1.0500
59      NONE    0.0000      1.1000
60      NONE    0.0000      1.1500
61      NONE    0.0000      1.1000
